event-id,visible,timestamp,location-long,location-lat,lat-median,long-median,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
34123376703,true,2016-09-21 04:45:09.000,9.95,57.15,57.15,9.95,"solar-geolocator","Hirundo rustica","V4221037","9AK1947","Barn swallows breeding in Kraghede"
34123376704,true,2016-09-21 17:48:07.000,9.95,57.15,57.15,9.95,"solar-geolocator","Hirundo rustica","V4221037","9AK1947","Barn swallows breeding in Kraghede"
34123376705,true,2016-09-22 04:41:22.000,9.95,57.15,57.15,9.95,"solar-geolocator","Hirundo rustica","V4221037","9AK1947","Barn swallows breeding in Kraghede"
34123376706,true,2016-09-22 17:45:36.000,10.0,56.82,57.15,9.95,"solar-geolocator","Hirundo rustica","V4221037","9AK1947","Barn swallows breeding in Kraghede"
34123376707,true,2016-09-23 04:42:42.000,8.65,53.68,53.1,9.95,"solar-geolocator","Hirundo rustica","V4221037","9AK1947","Barn swallows breeding in Kraghede"
34123376708,true,2016-09-24 04:44:07.000,8.65,53.67,53.1,9.95,"solar-geolocator","Hirundo rustica","V4221037","9AK1947","Barn swallows breeding in Kraghede"
34123376709,true,2016-09-24 17:40:30.000,8.34,53.47,51.3,7.35,"solar-geolocator","Hirundo rustica","V4221037","9AK1947","Barn swallows breeding in Kraghede"
34123376710,true,2016-09-25 04:48:11.000,8.34,53.47,51.3,7.35,"solar-geolocator","Hirundo rustica","V4221037","9AK1947","Barn swallows breeding in Kraghede"
34123376711,true,2016-09-25 17:37:52.000,8.18,52.95,50.85,7.35,"solar-geolocator","Hirundo rustica","V4221037","9AK1947","Barn swallows breeding in Kraghede"
34123376712,true,2016-09-26 17:39:46.000,8.16,52.93,50.85,7.35,"solar-geolocator","Hirundo rustica","V4221037","9AK1947","Barn swallows breeding in Kraghede"
34123376713,true,2016-09-27 04:50:44.000,7.77,52.91,50.85,7.35,"solar-geolocator","Hirundo rustica","V4221037","9AK1947","Barn swallows breeding in Kraghede"
34123376714,true,2016-09-27 17:30:35.000,7.49,52.59,50.85,7.13,"solar-geolocator","Hirundo rustica","V4221037","9AK1947","Barn swallows breeding in Kraghede"
34123376715,true,2016-09-28 05:02:05.000,7.49,52.59,50.85,7.13,"solar-geolocator","Hirundo rustica","V4221037","9AK1947","Barn swallows breeding in Kraghede"
34123376716,true,2016-09-28 17:24:18.000,7.43,51.78,50.85,7.13,"solar-geolocator","Hirundo rustica","V4221037","9AK1947","Barn swallows breeding in Kraghede"
34123376717,true,2016-09-29 05:05:42.000,7.25,51.64,50.85,7.13,"solar-geolocator","Hirundo rustica","V4221037","9AK1947","Barn swallows breeding in Kraghede"
34123376718,true,2016-09-29 17:15:27.000,6.99,51.12,50.85,7.13,"solar-geolocator","Hirundo rustica","V4221037","9AK1947","Barn swallows breeding in Kraghede"
34123376719,true,2016-09-30 05:10:09.000,6.92,50.72,50.85,7.13,"solar-geolocator","Hirundo rustica","V4221037","9AK1947","Barn swallows breeding in Kraghede"
34123376720,true,2016-09-30 17:24:03.000,6.92,50.46,50.85,7.13,"solar-geolocator","Hirundo rustica","V4221037","9AK1947","Barn swallows breeding in Kraghede"
34123376721,true,2016-10-01 17:17:30.000,6.93,50.4,50.85,7.13,"solar-geolocator","Hirundo rustica","V4221037","9AK1947","Barn swallows breeding in Kraghede"
34123376722,true,2016-10-02 05:10:28.000,6.82,49.67,50.4,7.13,"solar-geolocator","Hirundo rustica","V4221037","9AK1947","Barn swallows breeding in Kraghede"
34123376723,true,2016-10-02 17:29:34.000,6.78,49.65,50.4,7.13,"solar-geolocator","Hirundo rustica","V4221037","9AK1947","Barn swallows breeding in Kraghede"
34123376724,true,2016-10-03 05:15:00.000,5.16,48.58,48.6,4.38,"solar-geolocator","Hirundo rustica","V4221037","9AK1947","Barn swallows breeding in Kraghede"
34123376725,true,2016-10-03 17:33:32.000,5.12,48.5,48.6,4.38,"solar-geolocator","Hirundo rustica","V4221037","9AK1947","Barn swallows breeding in Kraghede"
34123376726,true,2016-10-04 05:17:15.000,5.1,48.5,48.6,4.38,"solar-geolocator","Hirundo rustica","V4221037","9AK1947","Barn swallows breeding in Kraghede"
